"Skolaar","Parent Account Name","Account Name","Integration","Active Classes","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Submissions with Feedback","Submissions Scored with a Rubric","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created","Skolastig"
"2017-2018","Menntaskólinn í Kópavogi","Menntaskólinn í Kópavogi","Moodle Direct",1,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn í Kópavogi","Menntaskólinn í Kópavogi","Moodle Direct",83,96,2814,3861,1323,1855,381,213,65,482,50,3577,153,35,1931,812,563,0,83,0,0,"Framhaldsskólar"
"2019-2020","Menntaskólinn í Kópavogi","Menntaskólinn í Kópavogi","Moodle Direct",30,51,4335,7921,1440,4492,1031,487,338,927,55,5141,355,0,1908,1578,1013,0,287,0,0,"Framhaldsskólar"
"2018-2019","Miðstöð símenntunar á Suðurnesjum","Miðstöð símenntunar á Suðurnesjum","Moodle Direct",3,3,93,93,2,61,18,9,2,42,0,791,11,0,591,186,1,0,2,0,0,""
"2019-2020","Miðstöð símenntunar á Suðurnesjum","Miðstöð símenntunar á Suðurnesjum","Moodle Direct",10,10,449,367,35,230,72,16,10,253,58,1558,140,0,838,511,34,0,35,0,0,""
"2017-2018","Verkmenntaskóli Austurlands","Verkmenntaskóli Austurlands","Moodle Direct",6,3,24,24,1,12,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Verkmenntaskóli Austurlands","Verkmenntaskóli Austurlands","Moodle Direct",221,173,3445,3057,745,1510,454,244,85,1628,809,11089,685,30,1519,6920,642,0,1003,290,0,"Framhaldsskólar"
"2019-2020","Verkmenntaskóli Austurlands","Verkmenntaskóli Austurlands","Moodle Direct",141,108,3791,3646,1079,1696,458,296,99,2189,1156,13004,1373,5,1185,7772,1556,0,1113,0,2,"Framhaldsskólar"
"2017-2018","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri","Moodle Direct",41,28,154,185,27,135,8,4,8,50,0,546,13,1,36,478,2,0,16,0,1,"Framhaldsskólar"
"2018-2019","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri","Moodle Direct",72,66,1203,1219,286,648,196,59,23,630,222,10141,50,0,5723,4050,198,0,120,0,0,"Framhaldsskólar"
"2019-2020","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri","Moodle Direct",119,102,5997,6694,837,2155,1366,902,1162,3988,2285,32719,146,0,21862,6759,3136,0,816,0,0,"Framhaldsskólar"
"2012-2013","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Moodle Direct",199,89,1342,1341,472,686,113,35,16,472,44,13433,139,1,3573,1187,8531,0,2,0,0,"Framhaldsskólar"
"2013-2014","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Moodle Direct",414,169,6937,6932,4174,2288,226,89,105,1763,68,27299,610,0,8375,4162,14151,0,1,0,0,"Framhaldsskólar"
"2014-2015","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Moodle Direct",397,163,6072,6069,3220,2325,318,77,86,1792,76,27405,691,0,9478,3225,14011,0,0,0,0,"Framhaldsskólar"
"2015-2016","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Moodle Direct",410,170,6285,6275,3003,2897,213,64,62,1372,40,14996,461,0,6619,1710,6206,0,0,0,0,"Framhaldsskólar"
"2016-2017","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Moodle Direct",360,142,5731,6138,2900,2809,236,45,98,1119,0,8637,248,0,3591,931,3867,0,0,0,0,"Framhaldsskólar"
"2017-2018","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Moodle Direct",393,174,3682,5101,1635,3031,198,48,159,1068,62,6497,379,0,2611,92,3144,0,271,0,0,"Framhaldsskólar"
"2018-2019","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Moodle Direct",127,58,413,600,217,294,33,13,30,200,3,927,149,0,558,145,75,0,0,0,0,"Framhaldsskólar"
"2019-2020","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Moodle Direct",197,79,655,830,273,479,48,12,4,317,0,1641,246,0,1041,196,127,0,31,0,0,"Framhaldsskólar"
"2013-2014","Háskóli Íslands","Árnastofnun","Native",1,0,2,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"Háskólar"
"2014-2015","Háskóli Íslands","Árnastofnun","Native",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2011-2012","Háskólinn á Bifröst","Bifröst - kennslukerfi","Native",9,5,39,38,4,20,8,5,1,2,0,2,0,0,1,1,0,0,0,0,0,"Háskólar"
"2012-2013","Háskólinn á Bifröst","Bifröst - kennslukerfi","Native",37,24,164,162,32,84,36,9,1,3,0,3,0,0,1,2,0,0,0,0,0,"Háskólar"
"2013-2014","Háskólinn á Bifröst","Bifröst - kennslukerfi","Native",26,7,157,156,17,83,14,26,13,18,18,201,1,0,170,30,0,0,0,0,0,"Háskólar"
"2014-2015","Háskólinn á Bifröst","Bifröst - kennslukerfi","Native",49,23,819,817,114,502,63,26,54,225,195,2743,119,0,1871,726,0,0,27,0,0,"Háskólar"
"2015-2016","Háskólinn á Bifröst","Bifröst - kennslukerfi","Native",72,31,712,700,28,503,106,26,31,7,0,14,0,1,9,4,0,0,0,0,0,"Háskólar"
"2016-2017","Háskólinn á Bifröst","Bifröst - kennslukerfi","Native",74,25,1044,1646,127,1218,180,31,57,7,0,8,0,0,4,4,0,0,0,0,0,"Háskólar"
"2017-2018","Háskólinn á Bifröst","Bifröst - kennslukerfi","Native",81,30,872,1191,112,801,160,30,69,46,28,1379,49,0,344,41,12,900,33,0,0,"Háskólar"
"2018-2019","Háskólinn á Bifröst","Bifröst - kennslukerfi","Native",75,24,1025,1141,83,842,176,25,13,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2019-2020","Háskólinn á Bifröst","Bifröst - kennslukerfi","Native",50,23,972,970,35,698,183,12,26,1,0,1,0,0,1,0,0,0,0,0,0,"Háskólar"
"2013-2014","Háskóli Íslands","Endurmenntun","Native",2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2011-2012","Háskóli Íslands","Félagsvísindasvið","Native",10,2,24,23,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2012-2013","Háskóli Íslands","Félagsvísindasvið","Native",206,73,1558,1494,200,1033,180,43,17,256,189,559,42,3,291,222,1,0,0,0,0,"Háskólar"
"2013-2014","Háskóli Íslands","Félagsvísindasvið","Native",292,104,2805,2800,127,2111,235,77,132,483,230,1495,103,0,406,835,151,0,0,0,0,"Háskólar"
"2014-2015","Háskóli Íslands","Félagsvísindasvið","Native",381,125,4124,3771,202,2958,432,63,93,1007,704,5422,204,0,1549,3657,11,0,1,0,108,"Háskólar"
"2015-2016","Háskóli Íslands","Félagsvísindasvið","Native",425,133,3348,3216,160,2497,390,59,81,1002,631,7025,328,0,2704,3972,20,0,1,0,3,"Háskólar"
"2016-2017","Háskóli Íslands","Félagsvísindasvið","Native",277,109,3711,5137,227,4004,589,87,166,523,83,2354,377,0,507,1375,0,0,26,69,0,"Háskólar"
"2017-2018","Háskóli Íslands","Félagsvísindasvið","Native",322,122,3672,4912,217,3697,745,67,123,407,38,1537,327,0,6,1092,0,0,5,107,0,"Háskólar"
"2018-2019","Háskóli Íslands","Félagsvísindasvið","Native",156,70,3199,4507,262,3205,666,81,253,231,5,1608,214,0,252,785,354,0,3,0,0,"Háskólar"
"2019-2020","Háskóli Íslands","Félagsvísindasvið","Native",77,37,1724,2670,7,1978,621,31,25,60,1,295,52,0,2,7,87,147,0,0,0,"Háskólar"
"2017-2018","Fjölbrautaskóli Norðurlands Vestra","Fjölbrautaskóli Norðurlands Vestra","Native",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskóli Norðurlands Vestra","Fjölbrautaskóli Norðurlands Vestra","Native",1,0,4,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskóli Snæfellinga","Fjölbrautaskóli Snæfellinga","Native",30,5,465,465,40,173,84,92,69,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2017-2018","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands","Native",19,4,50,50,8,38,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
