"Skolaar","Parent.Account.Name","Account.Name","Skolastig","Active.classes","Submissions","Similarity.Reports","X0..Similarity","X1.24..Similarity","X25.49..Similarity","X50.74..Similarity","X75.100..Similarity","Submissions.with.Feedback","Submissions.Scored.with.a.Rubric","Total.Feedback..Comments.and.Marks.","Summary.Text.Comments","Voice.Comments","QuickMarks","Bubble.Comments","Inline.Text.Comments","ETS.e.rater.Marks","Strikethrough.Marks","Grading.Form.Marks","Peer.Reviews.Created"
"2013-2014","Háskólinn á Bifröst","Bifröst - kennslukerfi","Háskólar",5,138,138,15,73,11,26,13,NA,NA,201,1,0,170,30,0,0,0,0,0
"2014-2015","Háskólinn á Bifröst","Bifröst - kennslukerfi","Háskólar",14,778,778,114,475,57,25,107,NA,NA,2743,119,0,1871,726,0,0,27,0,0
"2015-2016","Háskólinn á Bifröst","Bifröst - kennslukerfi","Háskólar",14,675,604,25,440,94,19,26,NA,NA,5,0,1,2,2,0,0,0,0,0
"2016-2017","Háskólinn á Bifröst","Bifröst - kennslukerfi","Háskólar",15,969,1545,126,1129,172,30,88,NA,NA,5,0,0,3,2,0,0,0,0,0
"2017-2018","Háskólinn á Bifröst","Bifröst - kennslukerfi","Háskólar",16,806,1089,102,726,152,29,80,NA,NA,954,29,0,190,29,12,668,26,0,0
"2018-2019","Háskólinn á Bifröst","Bifröst - kennslukerfi","Háskólar",15,982,1098,75,829,164,17,13,NA,NA,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólinn á Bifröst","Bifröst - kennslukerfi","Háskólar",10,949,946,34,683,176,12,31,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskóli Íslands","Félagsvísindasvið","Háskólar",27,1350,1289,168,922,154,31,14,NA,NA,535,41,3,283,207,1,0,0,0,0
"2013-2014","Háskóli Íslands","Félagsvísindasvið","Háskólar",43,2607,2564,116,1948,196,70,234,NA,NA,1477,102,0,398,826,151,0,0,0,0
"2014-2015","Háskóli Íslands","Félagsvísindasvið","Háskólar",56,3875,3513,189,2774,389,58,103,NA,NA,4927,204,0,1466,3245,11,0,1,0,108
"2015-2016","Háskóli Íslands","Félagsvísindasvið","Háskólar",56,3075,2886,153,2253,342,53,85,NA,NA,6967,326,0,2700,3920,20,0,1,0,0
"2016-2017","Háskóli Íslands","Félagsvísindasvið","Háskólar",50,3530,4806,225,3754,523,80,224,NA,NA,2342,376,0,507,1364,0,0,26,69,0
"2017-2018","Háskóli Íslands","Félagsvísindasvið","Háskólar",47,3406,4507,213,3406,676,56,156,NA,NA,1479,325,0,3,1071,0,0,5,75,0
"2018-2019","Háskóli Íslands","Félagsvísindasvið","Háskólar",30,2991,3866,246,2880,604,61,75,NA,NA,1608,214,0,252,785,354,0,3,0,0
"2019-2020","Háskóli Íslands","Félagsvísindasvið","Háskólar",14,1611,2546,4,1892,602,26,20,52,1,58,50,0,2,6,0,0,0,0,0
"2014-2015","Háskólinn í Reykjavík","Frumgreinar","Háskólar",1,17,17,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-2012","Háskóli Íslands","Háskóli Íslands","Háskólar",2,33,31,5,19,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskóli Íslands","Háskóli Íslands","Háskólar",19,1547,1423,206,1068,93,17,39,121,0,1161,0,0,7,1138,16,0,0,0,0
"2013-2014","Háskóli Íslands","Háskóli Íslands","Háskólar",25,1941,1925,406,1251,160,39,69,NA,NA,1419,10,0,239,538,0,0,26,606,0
"2014-2015","Háskóli Íslands","Háskóli Íslands","Háskólar",42,1635,1577,295,1065,92,27,98,NA,NA,651,69,0,2,266,39,0,0,275,0
"2015-2016","Háskóli Íslands","Háskóli Íslands","Háskólar",60,3925,3650,504,2652,294,43,157,NA,NA,7045,700,22,1385,4166,307,0,40,425,0
"2016-2017","Háskóli Íslands","Háskóli Íslands","Háskólar",76,4323,5664,413,4465,601,52,133,NA,NA,13337,827,5,3592,7353,301,0,33,1226,0
"2017-2018","Háskóli Íslands","Háskóli Íslands","Háskólar",71,4485,6480,645,4779,710,95,251,NA,NA,7947,605,0,1868,4269,312,0,372,521,0
"2018-2019","Háskóli Íslands","Háskóli Íslands","Háskólar",136,9128,18560,2786,12114,2247,733,680,1729,518,24769,1039,15,2292,5220,1089,13435,522,1157,170
"2019-2020","Háskóli Íslands","Háskóli Íslands","Háskólar",161,14144,30542,4387,18804,4977,1087,956,4607,1824,51995,2555,48,5610,11795,2251,25194,1535,3007,1
"2012-2013","Háskólinn á Akureyri","Háskólinn á Akureyri","Háskólar",8,210,189,5,120,16,5,43,24,0,707,19,0,277,264,73,0,74,0,0
"2013-2014","Háskólinn á Akureyri","Háskólinn á Akureyri","Háskólar",12,498,497,5,394,71,18,9,45,0,85,0,0,1,84,0,0,0,0,0
"2014-2015","Háskólinn á Akureyri","Háskólinn á Akureyri","Háskólar",44,2511,2432,247,1629,356,89,111,NA,NA,2425,540,0,276,1609,0,0,0,0,0
"2015-2016","Háskólinn á Akureyri","Háskólinn á Akureyri","Háskólar",44,1829,1743,257,1211,180,30,65,435,1,3426,42,0,746,2613,25,0,0,0,0
"2016-2017","Háskólinn á Akureyri","Háskólinn á Akureyri","Háskólar",57,2589,2976,262,1986,367,142,219,849,0,5741,304,0,2889,2548,0,0,0,0,0
