"Skolaar","Skolastig","Parent Account Name","Account Name","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created"
"2017-2018","Háskólar","Háskóli Íslands","Kennslusvið",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-2018","Framhaldsskólar","Kvennaskólinn í Reykjavík","Kvennaskólinn í Reykjavík",2,3,7,0,3,2,2,0,1,0,0,0,1,0,0,0,0,0
"2018-2019","Framhaldsskólar","Kvennaskólinn í Reykjavík","Kvennaskólinn í Reykjavík",8,584,676,233,389,42,11,1,6760,228,0,1244,668,788,3418,103,311,0
"2019-2020","Framhaldsskólar","Kvennaskólinn í Reykjavík","Kvennaskólinn í Reykjavík",17,2358,2602,455,974,501,450,198,8427,306,1,2638,1615,194,3564,109,0,0
"2012-2013","Háskólar","Landbúnaðarháskóli Íslands","Landbúnaðarháskóli Íslands",1,23,23,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólar","Landbúnaðarháskóli Íslands","Landbúnaðarháskóli Íslands",14,302,281,0,217,26,9,11,9,0,0,0,9,0,0,0,0,0
"2014-2015","Háskólar","Landbúnaðarháskóli Íslands","Landbúnaðarháskóli Íslands",11,380,356,15,249,37,23,14,12,0,0,0,12,0,0,0,0,0
"2011-2012","Háskólar","Landsbókasafn Íslands - Háskólabókasafn","Landsbókasafn Íslands - Háskólabókasafn",2,5,5,0,1,0,0,3,5,0,0,1,4,0,0,0,0,0
"2013-2014","Háskólar","Listaháskóli Íslands","Listaháskóli Íslands",3,17,19,3,12,1,2,1,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólar","Listaháskóli Íslands","Listaháskóli Íslands",4,75,76,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólar","Listaháskóli Íslands","Listaháskóli Íslands",6,73,61,0,56,5,0,0,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólar","Listaháskóli Íslands","Listaháskóli Íslands",4,165,177,1,143,3,5,21,0,0,0,0,0,0,0,0,0,0
"2017-2018","Háskólar","Listaháskóli Íslands","Listaháskóli Íslands",3,111,122,2,119,1,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskólar","Listaháskóli Íslands","Listaháskóli Íslands",2,123,169,1,150,7,10,1,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólar","Listaháskóli Íslands","Listaháskóli Íslands",2,95,158,0,147,9,0,2,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólar","Háskólinn í Reykjavík","Lögfræði",2,65,65,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólar","Háskólinn í Reykjavík","Lögfræði",1,50,50,0,45,4,1,0,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólar","Háskólinn í Reykjavík","Lögfræði",1,186,211,0,172,36,1,2,0,0,0,0,0,0,0,0,0,0
"2018-2019","Framhaldsskólar","Menntaskóli Borgarfjarðar","Menntaskóli Borgarfjarðar",14,283,432,291,108,5,9,0,130,100,12,3,0,0,0,15,0,0
"2019-2020","Framhaldsskólar","Menntaskóli Borgarfjarðar","Menntaskóli Borgarfjarðar",2,44,46,31,12,1,2,0,21,21,0,0,0,0,0,0,0,0
"2019-2020","Annað","Keilir - Center of Excellence","menntaskolinn",8,937,931,582,298,49,0,2,947,2,0,0,507,438,0,0,0,0
"2017-2018","Framhaldsskólar","Menntaskólinn á Akureyri","Menntaskólinn á Akureyri",4,29,20,4,16,0,0,0,4,0,0,0,4,0,0,0,0,0
"2018-2019","Framhaldsskólar","Menntaskólinn á Akureyri","Menntaskólinn á Akureyri",20,2290,3610,221,2925,296,77,48,21424,533,70,6197,6477,3955,0,4192,0,0
"2019-2020","Framhaldsskólar","Menntaskólinn á Akureyri","Menntaskólinn á Akureyri",29,6435,11729,3244,6922,1122,145,218,54668,1926,31,15862,17978,10187,0,8588,96,0
"2017-2018","Framhaldsskólar","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði",1,26,26,2,21,3,0,0,0,0,0,0,0,0,0,0,0,0
